"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"10-Sep-2020","    11363.30","    11464.05","    11327.40","    11449.25","      679419973","        39239.10"
"11-Sep-2020","    11447.80","    11493.50","    11419.90","    11464.45","      554789157","        29614.09"
"14-Sep-2020","    11540.15","    11568.90","    11383.55","    11440.05","      642270123","        33996.94"
"15-Sep-2020","    11487.20","    11535.95","    11442.25","    11521.80","      506667239","        28054.51"
"16-Sep-2020","    11538.45","    11618.10","    11516.75","    11604.55","      527804775","        27629.71"
"17-Sep-2020","    11539.40","    11587.20","    11498.50","    11516.10","      517729494","        29674.95"
"18-Sep-2020","    11584.10","    11584.10","    11446.10","    11504.95","      764154094","        48698.68"
"21-Sep-2020","    11503.80","    11535.25","    11218.50","    11250.55","      602851737","        37213.23"
"22-Sep-2020","    11301.75","    11302.20","    11084.65","    11153.65","      672249921","        36296.49"
"23-Sep-2020","    11258.75","    11259.55","    11024.40","    11131.85","      714925847","        35542.98"
"24-Sep-2020","    11011.00","    11015.30","    10790.20","    10805.55","      706139506","        33623.71"
"25-Sep-2020","    10910.40","    11072.60","    10854.85","    11050.25","      559597322","        31122.18"
"28-Sep-2020","    11140.85","    11239.35","    11099.85","    11227.55","      472777324","        24361.17"
"29-Sep-2020","    11288.60","    11305.40","    11181.00","    11222.40","      498295735","        26875.14"
"30-Sep-2020","    11244.45","    11295.40","    11184.55","    11247.55","      499343849","        28134.77"
"01-Oct-2020","    11364.45","    11428.60","    11347.05","    11416.95","      447740006","        26212.72"
"05-Oct-2020","    11487.80","    11578.05","    11452.30","    11503.35","      530597393","        31341.55"
"06-Oct-2020","    11603.45","    11680.30","    11564.30","    11662.40","      561444728","        30373.65"
"07-Oct-2020","    11679.25","    11763.05","    11629.35","    11738.85","      513367516","        32935.98"
"08-Oct-2020","    11835.40","    11905.70","    11791.15","    11834.60","      608768573","        38677.49"
"09-Oct-2020","    11852.05","    11938.60","    11805.20","    11914.20","      611079482","        34546.80"
"12-Oct-2020","    11973.55","    12022.05","    11867.20","    11930.95","      522627571","        26586.47"
"13-Oct-2020","    11934.65","    11988.20","    11888.90","    11934.50","      458304851","        29403.22"
"14-Oct-2020","    11917.40","    11997.20","    11822.15","    11971.05","      569245407","        29940.62"
"15-Oct-2020","    12023.45","    12025.45","    11661.30","    11680.35","      608865041","        35175.92"
"16-Oct-2020","    11727.40","    11789.75","    11667.85","    11762.45","      555764762","        30439.19"
"19-Oct-2020","    11879.20","    11898.25","    11820.40","    11873.05","      541420990","        29888.60"
"20-Oct-2020","    11861.00","    11949.25","    11837.25","    11896.80","      453560934","        28367.34"
"21-Oct-2020","    11958.55","    12018.65","    11775.75","    11937.65","      623658140","        37477.13"
"22-Oct-2020","    11890.00","    11939.55","    11823.45","    11896.45","      544901152","        33013.17"
"23-Oct-2020","    11957.90","    11974.55","    11908.75","    11930.35","      502340361","        27424.61"
"26-Oct-2020","    11937.40","    11942.85","    11711.70","    11767.75","      519815905","        29316.02"
"27-Oct-2020","    11807.10","    11899.05","    11723.00","    11889.40","      616318543","        37989.97"
"28-Oct-2020","    11922.60","    11929.40","    11684.85","    11729.60","      704018608","        37025.89"
"29-Oct-2020","    11633.30","    11744.15","    11606.45","    11670.80","      554959844","        30436.62"
"30-Oct-2020","    11678.45","    11748.95","    11535.45","    11642.40","      553672805","        28151.58"
"02-Nov-2020","    11697.35","    11725.65","    11557.40","    11669.15","      568434165","        35714.57"
"03-Nov-2020","    11734.45","    11836.20","    11723.30","    11813.50","      674303605","        36363.95"
"04-Nov-2020","    11783.35","    11929.65","    11756.40","    11908.50","      667290347","        38552.09"
"05-Nov-2020","    12062.40","    12131.10","    12027.60","    12120.30","      632455414","        32311.46"
"06-Nov-2020","    12156.65","    12280.40","    12131.85","    12263.55","      576837602","        34965.94"
"09-Nov-2020","    12399.40","    12474.05","    12367.35","    12461.05","      553449924","        34255.11"
"10-Nov-2020","    12556.40","    12643.90","    12475.25","    12631.10","      847450692","        51247.01"
"11-Nov-2020","    12680.60","    12769.75","    12571.10","    12749.15","      880475468","        54744.55"
"12-Nov-2020","    12702.15","    12741.15","    12624.85","    12690.80","      622017762","        36794.24"
"13-Nov-2020","    12659.70","    12735.95","    12607.70","    12719.95","      513948665","        34568.65"
"14-Nov-2020","    12823.35","    12828.70","    12749.45","    12780.25","      107868139","         5189.38"
"17-Nov-2020","    12932.50","    12934.05","    12797.10","    12874.20","      707676873","        40977.03"
"18-Nov-2020","    12860.10","    12948.85","    12819.35","    12938.25","      731321438","        39856.45"
"19-Nov-2020","    12839.50","    12963.00","    12745.75","    12771.70","      768751782","        44747.08"
"20-Nov-2020","    12813.40","    12892.45","    12730.25","    12859.05","      663997267","        42992.15"
"23-Nov-2020","    12960.30","    12968.85","    12825.70","    12926.45","      633117401","        42031.38"
"24-Nov-2020","    13002.60","    13079.10","    12978.00","    13055.15","      571864976","        37094.23"
"25-Nov-2020","    13130.00","    13145.85","    12833.65","    12858.40","      679005507","        37401.36"
"26-Nov-2020","    12906.45","    13018.00","    12790.40","    12987.00","      549798925","        34624.15"
"27-Nov-2020","    13012.05","    13035.30","    12914.30","    12968.95","     1162360673","        78522.93"
"01-Dec-2020","    13062.20","    13128.40","    12962.80","    13109.05","      583633902","        32917.26"
"02-Dec-2020","    13121.40","    13128.50","    12983.55","    13113.75","      717711761","        34008.74"
"03-Dec-2020","    13215.30","    13216.60","    13107.90","    13133.90","      713688035","        39627.71"
"04-Dec-2020","    13177.40","    13280.05","    13152.85","    13258.55","      640514315","        36428.05"
"07-Dec-2020","    13264.85","    13366.65","    13241.95","    13355.75","      591722966","        33578.64"
"08-Dec-2020","    13393.85","    13435.45","    13311.05","    13392.95","      543165361","        33755.81"
"09-Dec-2020","    13458.10","    13548.90","    13449.60","    13529.10","      502605319","        28726.97"
"10-Dec-2020","    13488.50","    13503.55","    13399.30","    13478.30","      553402501","        30400.20"
"11-Dec-2020","    13512.30","    13579.35","    13402.85","    13513.85","      787707481","        33696.57"
"14-Dec-2020","    13571.45","    13597.50","    13472.45","    13558.15","      558390043","        28133.58"
"15-Dec-2020","    13547.20","    13589.65","    13447.05","    13567.85","      497600393","        30828.33"
"16-Dec-2020","    13663.10","    13692.35","    13606.45","    13682.70","      462151091","        27460.18"
"17-Dec-2020","    13713.55","    13773.25","    13673.55","    13740.70","      416008520","        27712.93"
"18-Dec-2020","    13764.40","    13772.85","    13658.60","    13760.55","      519393189","        34803.30"
"21-Dec-2020","    13741.90","    13777.50","    13131.45","    13328.40","      687255400","        38243.62"
"22-Dec-2020","    13373.65","    13492.05","    13192.90","    13466.30","      696197300","        36328.33"
"23-Dec-2020","    13473.50","    13619.45","    13432.20","    13601.10","      458651819","        27073.45"
"24-Dec-2020","    13672.15","    13771.75","    13626.90","    13749.25","      471367730","        24764.35"
"28-Dec-2020","    13815.15","    13885.30","    13811.55","    13873.20","      403634030","        20923.06"
"29-Dec-2020","    13910.35","    13967.60","    13859.90","    13932.60","      439593961","        25154.23"
"30-Dec-2020","    13980.90","    13997.00","    13864.95","    13981.95","      380681073","        24633.12"
"31-Dec-2020","    13970.00","    14024.85","    13936.45","    13981.75","      452410109","        26305.82"
"01-Jan-2021","    13996.10","    14049.85","    13991.35","    14018.50","      258090905","        15873.75"
"04-Jan-2021","    14104.35","    14147.95","    13953.75","    14132.90","      494999295","        28705.09"
"05-Jan-2021","    14075.15","    14215.60","    14048.15","    14199.50","      492475349","        30872.87"
"06-Jan-2021","    14240.95","    14244.15","    14039.90","    14146.25","      632323316","        34615.55"
"07-Jan-2021","    14253.75","    14256.25","    14123.10","    14137.35","      559173512","        33446.47"
"08-Jan-2021","    14258.40","    14367.30","    14221.65","    14347.25","      613472067","        37615.19"
"11-Jan-2021","    14474.05","    14498.20","    14383.10","    14484.75","      672878543","        40186.21"
"12-Jan-2021","    14473.80","    14590.65","    14432.85","    14563.45","      929566952","        44976.12"
"13-Jan-2021","    14639.80","    14653.35","    14435.70","    14564.85","      873956688","        44682.93"
"14-Jan-2021","    14550.05","    14617.80","    14471.50","    14595.60","      620194977","        37534.37"
"15-Jan-2021","    14594.35","    14617.45","    14357.85","    14433.70","      789557216","        39912.18"
"18-Jan-2021","    14453.30","    14459.15","    14222.80","    14281.30","      762043554","        41716.22"
"19-Jan-2021","    14371.65","    14546.05","    14350.85","    14521.15","      546108304","        33084.79"
"20-Jan-2021","    14538.30","    14666.45","    14517.55","    14644.70","      623069963","        34639.36"
"21-Jan-2021","    14730.95","    14753.55","    14517.25","    14590.35","      704646957","        41939.04"
"22-Jan-2021","    14583.40","    14619.90","    14357.75","    14371.90","      776750347","        45322.54"
"25-Jan-2021","    14477.80","    14491.10","    14218.60","    14238.90","      618631493","        42278.39"
"27-Jan-2021","    14237.95","    14237.95","    13929.30","    13967.50","      660711117","        40579.24"
"28-Jan-2021","    13810.40","    13898.25","    13713.25","    13817.55","      637871621","        39881.82"
"29-Jan-2021","    13946.60","    13966.85","    13596.75","    13634.60","      753206122","        46918.29"
"01-Feb-2021","    13758.60","    14336.35","    13661.75","    14281.20","      870529495","        51840.22"
"02-Feb-2021","    14481.10","    14731.70","    14469.15","    14647.85","      914965225","        58177.74"
"03-Feb-2021","    14754.90","    14868.85","    14574.15","    14789.95","      869477087","        49312.35"
"04-Feb-2021","    14789.05","    14913.70","    14714.75","    14895.65","      884686415","        47811.80"
"05-Feb-2021","    14952.60","    15014.65","    14864.75","    14924.25","      935629058","        54394.63"
"08-Feb-2021","    15064.30","    15159.90","    15041.05","    15115.80","      671242694","        40483.96"
"09-Feb-2021","    15164.15","    15257.10","    15064.30","    15109.30","      713279133","        41930.72"
"10-Feb-2021","    15119.05","    15168.25","    14977.20","    15106.50","      624791133","        40707.97"
"11-Feb-2021","    15073.25","    15188.50","    15065.40","    15173.30","      500122414","        30933.44"
"12-Feb-2021","    15186.20","    15243.50","    15081.00","    15163.30","      571808807","        32304.24"
"15-Feb-2021","    15270.30","    15340.15","    15243.40","    15314.70","      455959720","        28955.29"
"16-Feb-2021","    15371.45","    15431.75","    15242.20","    15313.45","      648545320","        36550.03"
"17-Feb-2021","    15279.90","    15314.30","    15170.75","    15208.90","      504767226","        34073.12"
"18-Feb-2021","    15238.70","    15250.75","    15078.05","    15118.95","      770629541","        37093.99"
"19-Feb-2021","    15074.80","    15144.05","    14898.20","    14981.75","      712213821","        37419.34"
"22-Feb-2021","    14999.05","    15010.10","    14635.05","    14675.70","      609898454","        37578.07"
"23-Feb-2021","    14782.25","    14854.50","    14651.85","    14707.80","      744092809","        39508.09"
"24-Feb-2021","    14729.15","    15008.80","    14723.05","    14982.00","      403754669","        23723.99"
"25-Feb-2021","    15079.85","    15176.50","    15065.35","    15097.35","      803883875","        42983.07"
"26-Feb-2021","    14888.60","    14919.45","    14467.75","    14529.15","     1103644519","        65012.96"
"01-Mar-2021","    14702.50","    14806.80","    14638.55","    14761.55","      507302977","        30030.57"
